countryExistence of national screening program for cervical cancer,Most widely used screening method in national cervical cancer screening program,Type of national cervical cancer screening program,Coverage of national cervical cancer screening program (%),Existence of national HPV vaccination programme,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Current health expenditure (CHE) per capita in PPP int$,Current health expenditure (CHE) per capita in US$,Out-of-pocket expenditure (OOP) per capita in PPP int$,Out-of-pocket expenditure (OOP) per capita in US$,continent,Breast cancer deaths per 100000 women,Breast cancer new cases per 100000 women,Gdp pc usd inflation adjusted,Gni pc constant 2010 u,Prostate cancer deaths per 100000 men,Prostate cancer new cases per 100000 men
Colombia,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,7.2,1039.2,459.2,169.5,74.9,Americas,12.8,35.5,7610.0,7480.0,24.0,60.3
Comoros,,,,,No,7.4,123.2,58.8,91.9,43.9,Africa,19.1,20.9,1390.0,1390.0,46.8,42.9
Congo,No,,Organized population-based screening,,No,2.9,164.8,50.0,79.8,24.2,,,,,,,
Cook Islands,Yes,PAP smear,Organized population-based screening,Less than 10,Yes,3.3,691.9,588.7,46.0,39.2,,,,,,,
Costa Rica,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,7.3,1262.2,869.1,268.3,184.7,Americas,14.8,42.4,9730.0,9220.0,26.6,67.5
Croatia,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,6.8,1772.5,902.1,194.5,99.0,Europe,22.9,76.1,15400.0,15100.0,26.3,74.2
Cuba,Yes,PAP smear,Organized population-based screening,70 or more,No,11.7,2485.8,987.6,260.6,103.5,Americas,18.0,50.7,6670.0,6450.0,40.3,103.0
Cyprus,Yes,PAP smear,Opportunistic screening,70 or more,Yes,6.7,2430.2,1731.7,1084.6,772.9,,21.7,99.3,30700.0,29700.0,23.2,111.0
Czechia,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,7.2,2753.4,1475.9,407.8,218.6,,,,,,,
Côte d'Ivoire,Yes,Visual inspection,Opportunistic screening,10 to 50,No,4.5,175.7,69.7,69.1,27.5,,,,,,,
Democratic People's Republic of Korea,Yes,Visual inspection,Organized population-based screening,70 or more,No,,,,,,,,,,,,
Democratic Republic of the Congo,Yes,Visual inspection,Opportunistic screening,Less than 10,No,4.0,37.3,19.4,15.0,7.8,,,,,,,
Denmark,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,10.1,5510.0,5800.2,757.0,796.9,Europe,25.2,98.5,62700.0,64100.0,31.4,113.0
Djibouti,Yes,PAP smear,Organized population-based screening,10 to 50,No,3.3,117.2,70.3,31.1,18.6,Africa,15.2,17.0,1340.0,,45.3,40.2
Dominica,Yes,PAP smear,Opportunistic screening,more than 50 but less than 70,No,5.9,656.7,439.6,203.3,136.1,,27.3,67.0,6560.0,6830.0,127.0,251.0
Dominican Republic,Yes,PAP smear,Opportunistic screening,70 or more,Yes,6.1,985.7,433.2,441.0,193.8,Americas,12.7,28.7,7270.0,6930.0,48.8,85.5
Ecuador,Yes,PAP smear,Organized population-based screening,Less than 10,Yes,8.3,958.9,518.0,377.8,204.1,Americas,9.4,21.8,5210.0,5090.0,24.3,47.0
Egypt,No,,,,No,5.3,613.8,105.8,368.8,63.5,Africa,9.49,23.6,2820.0,2760.0,8.07,12.9
