countryExistence of national screening program for cervical cancer,Most widely used screening method in national cervical cancer screening program,Type of national cervical cancer screening program,Coverage of national cervical cancer screening program (%),Existence of national HPV vaccination programme,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Current health expenditure (CHE) per capita in PPP int$,Current health expenditure (CHE) per capita in US$,Out-of-pocket expenditure (OOP) per capita in PPP int$,Out-of-pocket expenditure (OOP) per capita in US$,continent,Breast cancer deaths per 100000 women,Breast cancer new cases per 100000 women,Gdp pc usd inflation adjusted,Gni pc constant 2010 u,Prostate cancer deaths per 100000 men,Prostate cancer new cases per 100000 men
Syrian Arab Republic,Yes,PAP smear,Organized population-based screening,,No,3.6,159.7,69.9,85.8,37.5,,,,,,,
Tajikistan,No,Visual inspection,Opportunistic screening,10 to 50,No,7.2,231.4,57.9,146.1,36.6,,7.81,13.5,1020.0,1090.0,6.6,8.47
Thailand,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,3.7,670.9,247.0,74.8,27.5,Asia,11.8,31.1,6130.0,5850.0,8.4,17.7
Timor-Leste,Yes,Visual inspection,Opportunistic screening,Less than 10,No,3.9,263.8,83.2,22.0,6.9,,13.8,20.4,2740.0,2780.0,14.6,16.3
Togo,No,Visual inspection,Organized population-based screening,Less than 10,No,6.2,103.7,38.0,60.6,22.2,Africa,19.5,19.0,660.0,660.0,33.8,26.1
Tonga,Yes,PAP smear,Opportunistic screening,Less than 10,No,5.3,335.3,222.0,35.6,23.6,,44.1,66.8,4090.0,3670.0,39.5,47.0
Trinidad and Tobago,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,7.0,2205.8,1124.1,877.4,447.1,Americas,22.6,60.1,15300.0,15900.0,72.6,144.0
Tunisia,Yes,PAP smear,Organized population-based screening,10 to 50,No,7.2,863.3,250.6,337.7,98.0,Africa,17.5,41.8,4340.0,4010.0,14.6,24.3
Turkey,Yes,HPV test,Organized population-based screening,70 or more,No,4.2,1180.6,444.7,205.2,77.3,Europe,10.3,32.5,14900.0,14700.0,14.9,33.7
Turkmenistan,Yes,Visual inspection,Opportunistic screening,more than 50 but less than 70,Yes,6.9,1249.6,456.5,909.2,332.1,,11.2,33.8,7320.0,4070.0,6.31,13.4
Tuvalu,Yes,PAP smear,Opportunistic screening,10 to 50,No,17.1,694.3,622.2,3.6,3.2,,,,3590.0,4840.0,,
Uganda,No,Visual inspection,Opportunistic screening,10 to 50,Yes,6.3,122.7,38.9,47.3,15.0,Africa,27.7,33.0,694.0,675.0,75.5,64.2
Ukraine,Yes,PAP smear,Opportunistic screening,Less than 10,No,7.0,584.6,177.4,305.8,92.8,,18.0,46.9,2990.0,2900.0,15.3,38.1
United Arab Emirates,Yes,PAP smear,Opportunistic screening,Less than 10,Yes,3.3,2468.5,1357.0,465.8,256.0,,18.3,56.5,40700.0,41000.0,10.7,24.5
United Kingdom of Great Britain and Northern Ireland,Yes,PAP smear,Organized population-based screening,70 or more,Yes,9.6,4338.4,3858.7,692.3,615.7,,,,,,,
United Republic of Tanzania,No,,,,Yes,3.6,104.3,33.9,25.1,8.2,,,,,,,
United States of America,Yes,PAP smear,Opportunistic screening,Less than 10,Yes,17.1,10246.1,10246.1,1126.3,1126.3,,,,,,,
Uruguay,Yes,PAP smear,Organized population-based screening,70 or more,Yes,9.3,2101.9,1591.5,368.9,279.3,Americas,26.5,70.1,14400.0,13600.0,38.8,84.6
Uzbekistan,No,PAP smear,Organized population-based screening,,No,6.4,447.9,98.8,239.3,52.8,,13.3,32.7,2290.0,1640.0,6.03,9.99
Vanuatu,Yes,PAP smear,Opportunistic screening,10 to 50,Yes,3.3,110.4,105.7,9.9,9.5,,27.3,31.7,2860.0,2870.0,23.6,22.1
Venezuela (Bolivarian Republic of),Yes,PAP smear,Organized population-based screening,10 to 50,No,1.2,141.0,94.2,88.8,59.4,,,,,,,
Viet Nam,Yes,PAP smear,Organized population-based screening,10 to 50,No,5.5,375.6,129.6,170.0,58.6,,,,,,,
Yemen,No,,,,No,4.2,139.0,72.0,112.5,58.3,,20.0,26.6,703.0,1260.0,11.8,11.8
Zambia,No,Visual inspection,Organized population-based screening,more than 50 but less than 70,Yes,4.5,180.3,67.6,21.4,8.0,Africa,14.7,15.9,1660.0,1390.0,50.9,45.5
Zimbabwe,No,PAP smear,Organized population-based screening,10 to 50,Yes,6.6,201.0,110.1,41.5,22.7,Africa,26.7,28.3,1260.0,1150.0,78.2,62.9
