,"Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$"
"Republic of Moldova","208.0","222.0","238.2","198.4","207.0","195.1","204.2","188.2","219.9","197.2","167.8","156.0","120.2","90.6","81.0","75.5","64.7","52.4"
"Republic of North Macedonia","295.7","333.7","300.6","294.1","286.6","276.0","271.0","286.0","247.9","218.7","226.4","234.5","245.7","254.9","256.5","241.0","214.2","228.7"
"Romania","280.2","246.7","226.9","210.3","207.0","199.9","203.8","191.7","181.9","152.5","119.5","116.7","97.9","119.3","61.2","58.2","53.3","47.8"
"Russian Federation","568.6","522.8","501.0","485.7","463.2","424.1","396.6","384.7","404.6","333.4","265.7","236.6","192.9","176.4","170.5","148.5","127.5","111.0"
"Rwanda","8.4","8.3","9.2","9.7","10.3","11.2","12.2","13.7","14.7","16.6","19.7","22.5","19.4","15.2","10.6","7.9","7.4","7.1"
"Saint Kitts and Nevis","688.9","674.0","732.0","686.9","735.8","676.4","690.2","670.7","678.6","714.0","524.6","541.9","454.3","375.6","417.3","409.0","390.4","415.8"
"Saint Lucia","296.4","349.5","291.8","307.1","369.9","352.3","379.8","342.7","383.6","393.3","405.2","358.8","299.1","295.6","308.5","286.7","269.4","270.4"
"Saint Vincent and the Grenadines","164.7","166.0","158.4","162.0","159.5","152.4","144.0","142.5","143.6","141.9","138.9","123.6","112.3","104.8","93.6","82.2","76.6","70.2"
"Samoa","43.2","42.0","38.7","39.9","38.9","38.6","37.7","36.4","37.2","37.8","34.5","31.5","30.2","26.0","25.2","23.6","20.0","17.3"
"San Marino","757.4","743.0","686.3","676.9","673.7","674.3","683.1","683.1","751.1","709.0","650.9","650.9","589.7","597.3","619.3","711.2","711.5","711.7"
"Sao Tome and Principe","28.8","28.3","27.3","30.9","32.7","31.9","35.5","37.3","41.3","43.9","55.8","61.8","68.5","69.5","64.5","66.2","68.7","70.8"
"Saudi Arabia","476.5","499.0","467.4","362.5","329.4","308.3","281.4","307.5","338.9","258.0","253.5","232.7","228.5","249.1","253.8","252.9","270.5","265.4"
"Senegal","75.0","71.2","69.6","66.3","68.5","62.3","57.2","52.0","45.4","37.9","37.5","33.6","34.1","55.2","49.8","44.6","40.5","37.9"
"Serbia","577.1","549.3","532.7","540.2","514.6","459.4","455.0","442.9","411.2","420.1","364.6","283.9","226.3","181.3","146.1","130.6","120.0","110.1"
"Seychelles","365.4","364.4","350.7","354.4","264.2","317.5","298.2","274.5","270.0","290.2","190.9","199.1","196.2","168.1","158.4","128.5","233.3","120.6"
"Sierra Leone","103.5","106.3","106.0","123.3","124.9","110.8","115.8","82.4","87.5","82.8","77.5","70.1","69.6","67.0","66.8","64.1","52.1","92.0"
"Singapore","1371.7","1313.3","1223.0","1118.2","1109.7","996.8","950.1","951.9","919.1","946.0","864.1","825.2","797.2","785.7","780.3","768.5","735.7","680.9"
"Slovakia","408.7","392.5","375.1","360.0","490.0","472.9","452.3","444.1","411.6","347.1","416.6","344.2","258.8","205.8","94.2","80.8","72.0","65.3"
"Slovenia","365.0","337.9","336.1","340.9","326.5","315.6","301.6","301.5","301.7","295.5","283.1","247.2","248.7","219.8","213.3","203.9","192.8","186.6"
"Solomon Islands","6.2","5.6","5.8","6.3","6.1","5.8","5.7","6.1","5.9","6.3","6.3","6.1","5.4","5.0","2.9","2.8","3.1","2.8"
"South Africa","85.3","83.4","83.4","82.1","79.7","78.4","76.3","73.5","74.4","76.4","78.5","80.1","79.5","78.3","78.3","78.4","83.6","85.0"
"South Sudan","33.7","","","","","","","","","","","","","","","","",""
"Spain","817.4","789.3","758.9","740.6","703.7","662.2","615.6","598.3","569.1","586.6","542.4","512.7","470.6","449.3","429.0","411.6","388.0","357.9"
"Sri Lanka","250.6","245.8","228.0","199.0","199.4","179.8","175.0","172.2","196.6","171.3","140.2","118.4","107.2","103.9","80.0","91.9","89.6","88.4"
"Sudan","227.4","228.9","182.9","157.5","206.9","144.2","179.8","149.3","153.1","164.3","161.3","116.5","90.4","83.0","79.7","62.7","59.9","53.9"
"Suriname","249.7","202.8","214.0","226.9","214.2","200.0","191.2","165.1","154.7","158.8","133.5","130.1","155.2","151.7","141.1","139.0","119.2","100.3"
"Sweden","856.8","832.2","829.8","808.3","791.3","756.5","705.4","600.3","602.4","591.1","557.2","522.1","482.1","464.8","437.2","431.4","408.3","314.3"
"Switzerland","2378.6","2332.9","2221.4","2092.9","1939.9","1852.3","1735.1","1659.3","1622.5","1562.3","1490.2","1385.4","1334.6","1355.5","1286.1","1256.5","1235.4","1185.1"
"Syrian Arab Republic","","","","","","85.8","98.7","91.5","94.7","85.3","88.8","86.2","84.9","91.1","96.3","93.2","89.2","93.2"
"Tajikistan","146.1","137.8","121.9","111.5","102.4","90.6","81.1","83.3","79.8","77.1","69.3","56.4","52.2","48.4","43.6","39.3","35.5","32.1"
"Thailand","74.8","72.5","74.7","74.4","66.3","69.6","62.8","64.9","70.2","62.3","56.2","60.4","89.4","79.6","78.0","75.9","78.5","77.2"
"Timor-Leste","22.0","28.1","22.9","14.2","13.2","11.7","12.1","14.3","12.9","11.2","16.5","18.1","25.0","24.8","26.6","","",""
"Togo","60.6","53.5","52.7","51.1","49.2","47.5","47.1","44.0","35.5","30.1","29.4","27.8","26.4","24.8","23.9","23.2","23.8","24.0"
"Tonga","35.6","34.2","33.2","31.8","30.1","28.7","27.4","27.9","28.6","27.5","26.1","24.5","26.2","24.5","23.5","22.9","20.4","19.7"
"Trinidad and Tobago","877.4","889.1","864.7","745.3","725.6","698.0","665.5","736.4","780.8","530.5","606.8","566.9","488.2","499.0","403.2","421.9","324.1","358.7"
"Tunisia","337.7","324.4","318.8","294.3","293.9","287.1","270.7","253.3","237.9","222.7","212.6","193.4","178.1","167.5","152.6","139.2","127.0","117.0"
"Turkey","205.2","186.5","180.3","185.2","166.3","147.2","146.5","148.6","124.3","161.9","187.2","167.1","142.0","108.7","92.0","96.7","106.3","126.7"
"Turkmenistan","909.2","851.9","716.7","567.9","472.6","406.7","378.7","345.5","304.7","393.7","268.6","420.3","407.9","382.5","254.3","193.1","222.8","145.6"
"Tuvalu","3.6","4.1","1.3","3.6","3.7","3.6","3.6","3.0","3.1","4.0","3.3","2.6","3.6","3.8","4.8","4.3","3.4","0.6"
"Uganda","47.3","47.2","49.0","48.1","50.7","57.0","60.7","55.6","56.1","68.5","64.4","59.4","48.7","35.7","27.3","27.9","25.6","24.9"
"Ukraine","305.8","290.7","287.2","289.0","291.6","266.7","262.2","218.9","179.7","176.5","177.4","168.3","156.6","155.2","140.7","125.7","116.2","101.7"
"United Arab Emirates","465.8","476.6","453.2","436.8","394.3","347.2","361.7","390.2","383.5","504.2","550.1","558.4","571.4","633.3","596.4","601.4","299.9","424.6"
"United Kingdom of Great Britain and Northern Ireland","692.3","648.0","618.5","599.5","582.1","306.2","306.0","298.7","277.4","263.8","274.1","258.1","231.6","232.2","237.9","215.7","199.1","182.2"
"United Republic of Tanzania","25.1","23.5","24.4","26.0","26.4","27.8","30.4","33.8","34.2","34.2","35.7","34.0","32.0","30.0","27.7","24.4","20.1","14.3"
"United States of America","1126.3","1105.2","1065.6","1041.6","1032.8","1017.4","996.6","971.3","959.8","973.0","964.7","917.5","893.9","849.4","812.5","762.7","723.9","705.3"
"Uruguay","368.9","348.4","322.8","314.1","311.9","304.7","300.4","294.4","275.8","276.3","256.7","247.4","252.5","228.3","215.4","214.1","256.6","256.9"
"Uzbekistan","239.3","217.3","181.7","147.5","151.1","141.9","126.0","115.4","103.4","88.5","83.8","72.8","67.4","64.7","63.2","62.5","59.8","55.5"
"Vanuatu","9.9","9.9","9.8","9.3","9.0","8.9","8.7","8.6","8.1","7.7","7.7","7.7","7.5","7.3","7.1","7.0","8.1","7.8"
"Venezuela (Bolivarian Republic of)","88.8","177.8","239.2","303.8","319.9","337.5","423.2","425.9","492.4","420.2","394.6","329.9","294.7","252.7","257.6","342.5","386.3","345.6"
"Viet Nam","170.0","159.0","145.8","134.2","136.2","125.8","101.8","96.4","79.9","73.7","73.5","66.7","57.6","54.1","43.5","39.6","39.5","36.6"
"Yemen","","","112.5","147.3","148.6","143.9","131.6","167.5","183.7","160.5","159.0","139.4","124.8","116.4","105.0","73.7","70.2","62.5"
"Zambia","21.4","21.5","21.0","20.3","19.9","24.5","25.1","29.2","34.0","38.9","37.4","45.8","47.7","36.2","32.6","29.9","30.6","31.7"
"Zimbabwe","41.5","41.8","45.1","40.7","45.9","45.2","53.5","61.4","","","","","","","","","",""
