,"Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$"
"Central African Republic","13.1","12.8","12.6","12.6","14.5","16.1","15.5","15.0","14.5","14.2","14.8","14.6","14.6","14.7","13.7","13.6","13.0","12.8"
"Chad","50.7","56.3","56.7","52.5","49.8","46.0","44.3","51.9","49.1","46.8","46.4","49.7","43.6","43.4","30.5","48.9","30.2","27.3"
"Chile","747.3","688.7","657.6","614.7","565.4","507.1","477.5","425.8","404.3","417.5","410.9","388.3","357.5","342.0","341.1","320.2","305.3","289.3"
"China","303.2","274.0","247.6","232.1","219.3","199.4","176.6","156.7","155.2","138.3","127.6","128.3","121.2","110.5","104.6","96.1","86.4","77.8"
"Colombia","169.5","166.5","161.7","157.0","153.3","144.9","119.2","127.3","133.2","143.5","120.8","101.4","81.8","59.8","34.7","43.0","50.3","47.2"
"Comoros","91.9","87.3","91.8","92.7","91.9","92.1","94.3","95.5","96.0","96.5","97.7","98.7","98.9","96.3","97.1","100.2","103.0","109.6"
"Congo","79.8","78.7","65.6","45.4","41.9","39.5","40.7","43.4","51.8","37.7","42.7","38.8","41.2","45.8","49.3","43.7","39.9","31.7"
"Cook Islands","46.0","41.9","40.2","37.5","37.4","35.8","35.7","30.9","29.3","38.3","33.0","32.7","27.2","32.4","30.0","25.7","24.3","26.0"
"Costa Rica","268.3","274.6","278.3","292.2","266.0","274.3","283.9","262.3","253.4","273.4","254.6","231.7","215.4","198.3","189.3","177.8","167.3","163.0"
"Côte d'Ivoire","69.1","67.1","65.6","85.1","86.2","89.3","91.4","94.1","96.2","96.2","100.0","88.6","77.2","66.8","55.6","50.4","62.5","77.5"
