country,Computed tomography,Magnetic resonance imaging,Positron emission tomography,Gamma camera or nuclear medicine,Linear accelerator,Telecobalt unit,Radiotherapy,Registered Labs,Labs with clinical tests,Labs with research tests,Male,Female
Japan,101.18,45.94,4.35,,6.68,0.5,7.17,1.0,,1.0,187.2,101.6
Jordan,5.5,2.06,0.27,0.96,0.55,0.27,0.82,,,,137.5,95
Kazakhstan,1.46,1.09,0.06,0.06,0.43,0.91,1.34,,,,277.9,162.3
Kenya,0.25,0.16,0.0,0.05,0.0,0.02,0.02,,,,197.1,170
Kiribati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,156.8,135.8
Kuwait,,,,,0.59,0.59,1.19,,,,159.8,153.9
Kyrgyzstan,0.9,0.9,,0.72,0.18,0.36,0.54,,,,158.6,105.6
Lao People's Democratic Republic,0.74,0.0,0.0,0.0,0.0,0.0,0.0,,,,243.3,141.3
Latvia,,,0.0,,4.39,0.98,5.37,1.0,,,292.2,142.8
Lebanon,25.09,8.3,1.24,0.21,1.24,0.62,1.87,,,,150,126.7
Lesotho,,,,,,,,,,,169,99.2
Liberia,,,,,,,,,,,129.4,113.6
Libyan Arab Jamahiriya,9.68,5.16,0.16,0.32,0.16,0.81,0.97,,,,,
Lithuania,20.22,8.95,0.33,2.98,3.65,0.0,3.65,,,,282.9,134.2
Luxembourg,18.85,13.2,1.89,16.97,3.77,0.0,3.77,,,,188.9,125.4
Madagascar,0.13,0.0,0.0,0.0,0.0,0.04,0.04,,,,206.8,144.5
Malawi,0.31,0.06,0.0,0.0,0.0,0.0,0.0,,,,238.7,179.1
Malaysia,6.43,2.89,0.37,0.71,1.41,,1.41,,,,139.2,119.8
Maldives,5.8,2.9,0.0,0.0,0.0,0.0,0.0,,,,133,96.2
Mali,0.2,0.0,0.0,0.07,0.07,0.0,0.07,,,,101.2,144.5
Malta,9.32,9.32,2.33,6.99,2.33,2.33,4.66,,,,181.6,120.8
Marshall Islands,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No data,No data
Mauritania,1.54,0.77,,,0.26,,0.26,,,,99.5,95.4
Mauritius,6.43,4.82,0.0,2.41,0.8,1.61,2.41,,,,110.8,99.2
Mexico,3.65,1.41,0.11,0.76,0.17,0.37,0.54,3.0,3.0,,101.6,92.3
Micronesia (Federated States of),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,174.2,139.1
Monaco,132.17,132.17,26.43,26.43,26.43,0.0,26.43,,,,No data,No data
Mongolia,8.1,1.41,,0.7,0.35,0.35,0.7,,,,370.8,216.8
Montenegro,16.09,3.22,0.0,1.61,3.22,0.0,3.22,,,,255.1,152.8
Morocco,1.21,0.36,0.0,,0.33,0.06,0.39,1.0,,1.0,135.2,91.1
Mozambique,,,,,,,,,,,210.5,176.6
Myanmar,0.08,0.08,,0.06,,0.06,0.06,,,,212,138.6
Namibia,4.78,0.87,0.0,0.87,0.0,0.43,0.43,,,,135.8,78.9
Nauru,,,,,,,,,,,No data,No data
Nepal,,,,,0.11,0.11,0.22,,,,107.6,105
Netherlands,12.23,12.11,2.39,10.68,7.22,0.0,7.22,10.0,8.0,1.0,216.8,157.3
New Zealand,,,,,,0.0,6.21,2.0,1.0,1.0,173.8,135.6
Nicaragua,0.49,0.16,0.0,0.16,0.16,0.16,0.33,,,,133.1,109.5
Niger,0.17,0.0,0.0,0.0,0.0,0.0,0.0,,,,78.7,77.5
Nigeria,,,,,0.05,0.03,0.07,,,,146.3,135.8
Niue,,,,,,,,,,,No data,No data
Norway,,,0.0,,7.93,0.2,8.13,2.0,2.0,,178.6,131.6
Oman,6.88,4.4,0.0,1.1,0.55,0.0,0.55,,,,110.2,73.6
Pakistan,0.33,0.22,0.03,0.04,0.04,0.04,0.08,,,,113.2,123.9
Palau,,,,,,,,,,,No data,No data
Panama,9.58,2.85,0.0,2.07,1.55,0.0,1.55,,,,134.2,105.4
Papua New Guinea,0.41,0.0,0.0,0.0,0.0,0.14,0.14,,,,199.9,186.5
Paraguay,1.03,0.29,0.0,0.0,0.15,0.44,0.59,,,,167,128.7
Peru,,,,,0.82,0.3,1.12,,,,141.5,130.8
Philippines,1.09,0.3,,,0.18,,0.18,,,,136,116.4
Poland,10.6,3.27,0.34,2.8,2.59,0.13,2.72,8.0,1.0,,278.8,156.4
Portugal,27.43,9.9,0.66,5.09,3.49,0.57,4.05,3.0,3.0,,227.3,108.8
Qatar,8.3,9.22,0.46,1.84,0.92,0.0,0.92,,,,116.2,105.7
Republic of Korea,35.38,19.99,3.15,8.08,2.8,0.2,3.0,,,,204,91.2
Republic of Moldova,5.45,1.43,0.0,1.15,0.29,0.29,0.57,,,,244.7,126.3
Romania,5.44,1.98,0.05,1.15,0.51,0.65,1.15,,,,269.1,140.2
Russian Federation,,,,,0.77,1.51,2.28,,,,298.4,153.1
Rwanda,,,,,,,,,,,227.5,171.4
Saint Kitts and Nevis,18.45,0.0,0.0,0.0,0.0,0.0,0.0,,,,No data,No data
Saint Lucia,10.97,10.97,0.0,0.0,0.0,0.0,0.0,,,,188.2,140.4
Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,256.5,160.7
Samoa,5.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,148.1,120.1
San Marino,31.8,63.6,0.0,0.0,0.0,0.0,0.0,,,,No data,No data
Sao Tome and Principe,,,,,,,,,,,185.1,141.3
Saudi Arabia,3.82,0.97,0.0,0.38,0.1,0.0,0.1,,,,82.7,73.7
Senegal,0.35,0.14,0.0,0.07,0.0,0.07,0.07,,,,104,98.8
Serbia,13.67,6.2,0.21,0.32,1.37,0.11,1.47,,,,261.6,155.2
Seychelles,10.77,10.77,,,,,,,,,249.5,125.2
Sierra Leone,0.33,,,0.16,,,,,,,113.8,101.5
Singapore,8.87,7.76,,,3.33,0.18,3.51,2.0,1.0,1.0,164.5,110.7
Slovakia,,,,,2.94,1.83,4.77,2.0,2.0,,305.9,155.8
Slovenia,13.51,8.69,0.97,8.2,5.31,0.48,5.79,1.0,1.0,,253.4,145
Solomon Islands,,,,,,,,,,,140.8,158.8
Somalia,,,,,,,,,,,116.3,143.8
South Africa,0.97,0.23,0.06,0.53,0.4,0.17,0.57,1.0,1.0,,223,143.8
South Sudan,,,,,,,,,,,190.1,173.7
Spain,13.85,8.14,,4.75,3.49,0.66,4.16,21.0,17.0,1.0,200.7,100.1
Sri Lanka,1.69,0.42,0.0,,0.09,,0.56,,,,135.4,99.1
Sudan,1.13,0.32,,0.13,0.08,0.11,0.18,,,,131,101.2
Suriname,7.42,3.71,0.0,0.0,3.71,0.0,3.71,,,,205.1,145.6
Swaziland,2.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Sweden,,,,,6.48,0.42,6.9,2.0,2.0,,160.8,128.3
Switzerland,,,,,,,,7.0,5.0,,170,112.7
Syrian Arab Republic,,,,,0.05,0.27,0.32,,,,201.4,150.6
Tajikistan,1.1,0.37,,,0.0,0.12,0.12,,,,126.6,99.1
Thailand,5.95,,0.07,0.45,0.63,0.34,0.97,,,,176.2,106.6
The former Yugoslav Republic of Macedonia,6.17,,,,,,0.95,,,,,
Timor-Leste,,,,,,,,,,,215.1,163.5
Togo,0.73,0.15,,,,,,,,,129.3,136.1
Tonga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,257.3,163.8
Trinidad and Tobago,2.98,2.98,0.0,2.24,1.49,1.49,2.98,,,,197.4,133.5
Tunisia,8.91,2.0,,1.18,0.64,1.0,1.64,,,,129.8,66.5
Turkey,14.52,6.14,0.89,3.82,1.43,0.6,2.03,3.0,3.0,,254.4,112.7
Turkmenistan,,,,,,,,,,,172.2,116.5
Tuvalu,,,,,,,,,,,No data,No data
Uganda,0.45,0.08,0.0,0.05,0.0,0.05,0.05,,,,285.4,184.2
Ukraine,,,,,0.44,1.95,2.39,,,,247.2,126.2
United Arab Emirates,,,,,0.53,0.11,0.64,2.0,1.0,,72.3,81.5
United Kingdom,,,,,4.97,0.06,5.04,16.0,11.0,2.0,,
United Republic of Tanzania,0.12,0.04,0.02,0.08,,0.06,0.06,,,,155.8,136.6
United States of America,,,,,11.93,0.44,12.37,,,,178.3,133.9
Uruguay,12.91,2.94,0.29,2.94,2.94,0.88,3.82,,,,277.5,162.5
Uzbekistan,,,,,0.03,0.59,0.62,,,,86,74.2
Vanuatu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,170.1,141.5
Venezuela (Bolivarian Republic of),,,,,1.61,0.89,2.5,,,,165.3,127.5
Viet Nam,,,,,0.2,0.21,0.4,,,,191.5,112.9
Yemen,3.61,1.15,0.0,0.12,0.04,0.08,0.12,,,,107.9,90.9
Zambia,0.21,0.07,0.0,0.07,0.07,0.07,0.14,,,,178.5,157.1
Zimbabwe,0.42,0.28,0.0,0.28,0.21,0.21,0.42,,,,182.7,146.8
