,"Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Portugal","1908.0","1802.8","1724.5","1986.9","1959.4","1918.6","2207.7","2213.1","2279.5","2322.0","2067.1","1812.6","1773.5","1679.2","1405.9","1105.2","988.8","967.1"
"Qatar","1649.2","1800.5","2031.9","2104.4","1833.4","1548.3","1375.1","1257.9","1321.5","1327.6","1322.2","1327.7","1322.8","1285.7","1206.3","736.8","658.0","602.3"
"Republic of Korea","2283.1","2040.4","1925.5","1910.7","1712.1","1575.9","1521.5","1374.3","1112.4","1155.7","1230.2","1071.9","892.0","722.4","648.1","547.5","511.2","473.9"
"Republic of Moldova","191.2","171.2","186.4","230.8","231.7","223.6","215.0","198.3","208.5","185.6","135.4","100.1","79.3","64.6","38.4","33.9","25.4","21.4"
"Republic of North Macedonia","328.4","327.4","306.9","343.9","350.3","310.8","330.0","305.2","296.7","314.1","265.4","245.7","233.1","234.0","217.2","175.0","152.2","164.5"
"Romania","555.1","476.2","442.2","503.3","495.2","401.7","426.6","472.2","449.4","521.3","415.1","291.0","254.5","190.8","143.5","96.6","78.8","69.9"
"Russian Federation","585.9","469.1","501.9","742.3","811.2","760.1","684.8","567.4","516.7","609.9","461.9","352.7","272.0","209.2","164.7","140.8","118.1","95.4"
"Rwanda","49.2","48.1","46.4","48.7","46.5","56.6","51.6","48.7","45.6","42.4","36.8","31.1","25.2","20.2","17.1","7.2","7.9","9.2"
"Saint Kitts and Nevis","902.7","871.8","848.9","827.3","830.7","787.2","829.9","789.4","804.6","819.9","664.2","652.4","532.1","474.6","471.3","458.9","438.0","445.4"
"Saint Lucia","460.1","492.9","445.0","433.4","487.5","459.3","466.3","434.0","429.2","429.2","440.8","392.9","336.9","313.2","321.2","303.3","288.2","288.9"
"Saint Vincent and the Grenadines","320.6","305.8","294.4","293.0","301.4","297.2","276.2","283.6","267.7","260.5","249.9","215.8","204.4","195.9","186.0","183.9","171.3","157.8"
"Samoa","233.1","227.2","222.9","259.2","257.4","205.0","220.2","192.5","178.9","162.8","153.3","138.5","126.2","108.9","85.7","76.1","58.8","63.0"
"San Marino","3361.6","3021.7","3163.8","3873.6","4014.6","4026.0","4280.2","4001.8","4205.1","4295.4","3747.7","3218.2","3012.3","2910.9","2243.5","2019.3","1952.9","1935.0"
"Sao Tome and Principe","119.7","110.3","86.9","122.8","128.6","89.4","88.1","77.3","79.1","80.1","72.4","69.3","92.6","81.7","81.3","58.8","54.8","58.2"
"Saudi Arabia","1093.4","1166.1","1243.6","1284.8","1113.5","1017.1","882.3","702.6","690.5","595.3","586.4","554.3","469.4","399.2","380.7","367.8","385.7","384.4"
"Senegal","55.0","52.6","52.0","59.8","58.7","55.0","56.4","50.2","49.2","48.2","40.2","38.1","35.9","41.9","35.2","26.5","23.6","21.5"
"Serbia","528.5","496.4","491.3","608.9","627.5","559.8","619.1","545.3","575.5","672.0","547.2","371.6","307.6","274.4","230.1","173.3","112.2","56.5"
"Seychelles","791.7","784.6","674.2","682.3","645.4","658.0","532.2","512.3","361.6","425.6","468.2","530.3","515.5","498.5","440.1","377.7","406.6","349.3"
"Sierra Leone","66.4","86.3","119.8","139.8","82.2","59.5","59.1","43.7","43.2","40.1","36.0","33.5","32.2","29.2","28.9","28.9","25.3","23.4"
"Singapore","2618.7","2489.9","2326.3","2237.4","2114.6","1863.1","1704.4","1513.6","1328.8","1275.1","1084.9","945.8","863.3","829.2","828.9","752.3","706.7","820.7"
"Slovakia","1186.1","1174.8","1108.4","1287.6","1370.1","1319.5","1350.7","1295.3","1314.8","1251.7","1029.3","729.0","601.3","511.5","344.5","254.1","212.2","203.5"
"Slovenia","1920.3","1834.2","1775.1","2059.6","2054.8","1975.0","2145.0","2015.2","2116.5","2170.7","1793.6","1541.7","1449.2","1368.6","1203.1","944.9","826.2","796.6"
"Solomon Islands","101.2","106.3","103.2","119.8","110.2","107.9","122.8","93.7","91.5","97.3","91.6","90.8","92.7","68.1","55.8","80.1","63.1","48.5"
"South Africa","499.2","428.3","470.8","509.8","526.5","579.7","597.4","539.6","413.1","372.4","386.0","362.5","354.1","322.7","254.3","169.0","195.2","221.8"
"South Sudan","22.9","","","","","","","","","","","","","","","","",""
"Spain","2506.5","2390.6","2351.5","2671.3","2628.9","2588.7","2894.8","2775.1","2912.5","2967.6","2587.0","2227.9","2050.8","1914.5","1632.3","1169.1","1044.1","1002.8"
"Sri Lanka","159.5","153.1","151.4","138.8","138.6","114.0","119.5","108.6","100.6","93.1","73.8","65.5","57.4","51.0","42.4","42.9","41.3","43.7"
"Sudan","193.8","165.9","158.0","115.5","124.8","99.9","125.2","109.1","110.8","106.7","104.3","70.0","46.6","36.7","28.2","20.9","18.9","17.4"
"Suriname","339.3","356.1","538.2","463.0","455.7","425.4","392.8","417.7","396.8","348.6","322.1","326.6","251.5","221.2","173.1","162.6","93.4","168.4"
"Sweden","5904.6","5707.1","5623.2","6628.5","6723.1","6273.5","6386.7","4437.1","4151.8","4652.8","4321.8","3788.7","3573.5","3513.3","3134.5","2477.2","2170.0","2173.2"
"Switzerland","9956.3","9836.0","9807.8","10014.7","9689.7","9286.5","9572.2","8021.8","7599.5","7411.2","6401.8","5900.5","5964.7","5889.8","5277.4","4420.6","3957.2","3737.8"
"Syrian Arab Republic","","","","","","69.9","81.6","94.3","92.2","87.9","76.4","66.1","63.8","61.7","61.3","63.9","58.5","54.2"
"Tajikistan","57.9","55.7","63.5","73.6","67.9","57.1","48.9","42.3","39.0","41.5","28.8","20.2","17.6","14.8","11.1","8.3","7.7","6.0"
"Thailand","247.0","225.3","214.4","219.4","213.0","206.4","195.9","172.1","152.5","151.5","126.8","104.4","91.4","83.5","76.5","69.9","57.3","62.3"
"Timor-Leste","83.2","79.9","87.4","78.8","81.7","70.1","63.2","51.4","48.7","41.9","28.6","26.0","23.8","18.9","14.5","","",""
"Togo","38.0","38.8","35.2","40.2","38.6","34.7","34.7","31.1","26.4","23.8","19.7","16.7","15.9","15.0","13.7","11.2","9.9","9.9"
"Tonga","222.0","206.6","180.9","216.0","177.0","221.7","168.1","177.7","126.7","203.5","144.3","159.3","116.6","110.5","73.9","67.9","59.9","58.2"
"Trinidad and Tobago","1124.1","1092.9","1115.5","1060.6","1017.3","936.6","912.3","861.5","810.4","783.9","696.0","593.0","552.9","449.7","373.9","338.1","284.1","277.0"
"Tunisia","250.6","256.5","268.2","291.0","287.9","273.3","273.8","243.6","234.2","233.5","205.1","181.5","172.4","169.8","150.9","126.0","115.0","111.8"
"Turkey","444.7","468.6","454.6","527.2","552.4","524.8","531.7","539.3","500.1","570.7","512.7","416.9","364.9","299.6","238.7","186.7","153.6","199.5"
"Turkmenistan","456.5","423.0","405.1","437.8","376.2","318.8","276.7","221.8","194.3","255.5","281.9","374.2","345.1","319.3","208.9","132.5","123.8","76.6"
"Tuvalu","622.2","554.2","536.0","571.3","630.9","532.7","567.7","500.0","375.4","313.7","294.7","298.2","242.2","227.8","286.7","217.2","271.3","358.1"
"Uganda","38.9","39.5","41.6","50.3","49.6","53.3","53.7","62.7","55.2","56.7","51.5","43.3","38.2","30.9","21.8","22.1","20.3","18.8"
"Ukraine","177.4","141.9","141.6","197.4","298.9","275.9","244.0","202.3","168.2","215.7","185.8","148.3","116.3","84.6","68.9","52.9","44.8","35.1"
"United Arab Emirates","1357.0","1310.9","1402.0","1613.4","1556.3","1441.6","1484.0","1359.0","1339.4","1340.0","1094.8","985.3","915.1","890.3","879.4","851.0","771.7","781.8"
"United Kingdom of Great Britain and Northern Ireland","3858.7","3945.0","4326.3","4601.1","4207.9","3492.9","3501.9","3309.5","3273.7","3606.2","3740.2","3251.7","3010.2","2828.3","2347.0","1965.8","1739.2","1674.3"
"United Republic of Tanzania","33.9","35.5","32.1","38.4","41.9","40.5","36.5","36.1","32.9","35.7","35.8","35.3","27.6","23.4","20.4","17.0","15.2","12.4"
"United States of America","10246.1","9941.3","9538.1","9068.0","8647.6","8441.0","8169.9","7957.3","7699.4","7420.7","7175.9","6819.8","6451.8","6099.8","5737.1","5328.3","4910.7","4560.1"
"Uruguay","1591.5","1400.7","1398.5","1468.0","1488.9","1322.7","1223.3","1026.0","813.1","799.9","570.6","494.4","439.9","371.3","378.4","430.0","668.6","687.6"
"Uzbekistan","98.8","135.4","131.6","117.4","116.0","106.2","89.6","76.9","63.4","52.3","40.4","32.2","27.2","23.3","21.3","20.2","25.2","29.7"
"Vanuatu","105.7","109.9","119.4","108.8","131.6","118.9","114.6","100.1","83.5","82.3","73.0","68.0","62.4","63.3","55.4","52.9","46.2","48.7"
"Venezuela (Bolivarian Republic of)","94.2","296.9","566.9","682.7","685.2","822.5","770.9","926.7","869.5","718.7","647.5","545.5","329.0","289.7","242.4","282.2","386.8","350.9"
"Viet Nam","129.6","122.8","116.7","116.4","118.5","108.2","89.0","78.2","64.1","58.9","49.2","42.1","34.8","28.6","22.3","19.6","23.1","18.8"
"Yemen","","","72.0","79.7","78.4","73.8","64.4","67.5","65.5","69.4","58.0","49.9","42.4","38.2","34.8","27.3","26.5","25.2"
"Zambia","67.6","56.5","58.5","66.6","86.8","68.2","56.9","54.4","50.4","54.9","48.1","60.5","47.4","37.4","30.9","25.6","24.8","24.5"
"Zimbabwe","110.1","98.6","94.3","99.6","83.1","75.4","75.4","91.2","","","","","","","","","",""
