,"Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"
"Peru","5.0","5.1","5.0","5.0","4.7","4.8","4.6","4.7","5.0","4.4","4.4","4.5","4.5","4.8","5.1","5.2","5.0","4.5"
"Philippines","4.4","4.4","4.3","4.1","4.5","4.4","4.2","4.3","4.4","4.0","3.9","3.9","3.9","3.2","3.2","2.7","2.9","3.2"
"Poland","6.5","6.5","6.4","6.4","6.4","6.2","6.2","6.4","6.6","6.4","5.9","5.8","5.8","5.9","6.0","6.1","5.7","5.3"
"Portugal","9.0","9.0","9.0","9.0","9.1","9.3","9.5","9.8","9.9","9.4","9.1","9.1","9.4","9.3","8.9","8.6","8.4","8.4"
"Qatar","2.6","3.0","3.1","2.4","2.1","1.7","1.6","1.8","2.1","1.6","2.0","2.2","2.6","3.1","3.5","2.5","2.3","2.0"
"Republic of Korea","7.6","7.3","7.0","6.8","6.6","6.4","6.3","6.2","6.1","5.7","5.4","5.2","4.8","4.6","4.6","4.3","4.6","4.0"
"Republic of Moldova","7.0","7.5","8.6","8.6","8.7","9.1","9.1","10.1","11.4","9.1","9.2","8.8","8.0","7.5","5.9","6.2","5.2","4.9"
"Republic of North Macedonia","6.1","6.4","6.3","6.3","6.7","6.6","6.5","6.7","6.5","6.6","6.6","7.4","7.7","8.5","9.0","9.0","8.4","8.9"
"Romania","5.2","5.0","4.9","5.0","5.2","4.7","4.7","5.8","5.3","5.0","5.0","5.1","5.5","5.5","5.4","4.6","4.4","4.2"
"Russian Federation","5.3","5.3","5.3","5.2","5.1","4.9","4.8","5.0","5.6","4.9","4.8","4.8","4.8","4.8","5.2","5.5","5.2","5.0"
"Rwanda","6.6","6.8","6.5","6.9","6.8","8.3","8.4","8.6","8.5","8.5","9.1","9.1","8.8","8.5","8.0","3.7","3.9","4.3"
"Saint Kitts and Nevis","5.0","5.0","4.9","4.8","5.2","5.2","5.3","5.3","5.3","5.2","4.6","4.9","4.5","4.3","4.6","4.3","4.2","4.7"
"Saint Lucia","4.5","5.2","4.8","5.0","5.8","5.6","5.6","5.4","5.7","5.6","5.8","5.7","5.4","5.3","5.9","6.0","5.7","5.4"
"Saint Vincent and the Grenadines","4.5","4.3","4.3","4.4","4.6","4.7","4.5","4.6","4.3","4.1","4.2","3.8","4.0","4.1","4.2","4.3","4.3","4.3"
"Samoa","5.5","5.5","5.7","6.2","6.2","4.8","5.4","5.5","5.4","4.7","4.9","5.0","4.8","4.6","4.3","4.6","3.9","4.4"
"San Marino","7.4","6.8","7.4","7.6","7.7","8.0","7.4","6.6","6.3","5.4","5.1","5.0","4.9","4.9","4.4","5.0","5.1","5.3"
"Sao Tome and Principe","6.2","6.2","5.4","6.7","7.9","6.5","6.8","6.8","7.2","7.1","8.2","8.3","11.5","11.9","12.6","10.7","10.8","10.5"
"Saudi Arabia","5.2","5.8","6.0","5.2","4.5","4.0","3.7","3.6","4.3","3.0","3.6","3.6","3.4","3.6","4.0","4.2","4.5","4.2"
"Senegal","4.1","4.3","4.4","4.4","4.4","4.2","4.2","4.0","3.8","3.5","3.3","3.7","3.7","4.5","4.3","4.1","3.9","3.6"
"Serbia","8.4","8.6","8.8","9.2","9.3","9.3","9.1","9.5","9.3","9.5","9.4","8.5","8.3","8.2","8.1","8.1","6.9","6.5"
"Seychelles","5.0","5.2","4.6","4.7","4.5","5.7","4.8","4.8","3.9","4.0","4.1","4.7","5.0","5.2","5.4","4.6","5.4","4.6"
"Sierra Leone","13.4","16.5","20.4","19.7","11.6","10.6","13.3","10.9","11.1","9.9","10.0","10.4","11.0","11.0","10.8","11.4","11.0","11.5"
"Singapore","4.4","4.4","4.2","3.9","3.7","3.4","3.2","3.2","3.4","3.2","2.9","3.0","3.0","3.2","3.6","3.4","3.2","3.4"
"Slovakia","6.7","7.1","6.8","6.9","7.5","7.6","7.4","7.8","8.0","7.0","7.2","6.9","6.6","6.4","5.5","5.5","5.3","5.3"
"Slovenia","8.2","8.5","8.5","8.5","8.8","8.8","8.6","8.6","8.6","7.8","7.5","7.8","8.0","7.9","8.1","8.0","7.9","7.8"
"Solomon Islands","4.7","5.2","5.2","5.9","5.5","5.6","7.1","7.3","7.9","8.1","8.7","9.3","10.1","8.6","7.9","10.8","7.0","5.3"
"South Africa","8.1","8.1","8.2","7.9","7.7","7.8","7.5","7.4","7.1","6.5","6.4","6.6","6.7","6.8","6.9","6.9","7.5","7.4"
"South Sudan","9.8","","","","","","","","","","","","","","","","",""
"Spain","8.9","9.0","9.1","9.0","9.0","9.1","9.1","9.0","9.0","8.3","7.8","7.8","7.7","7.6","7.5","6.8","6.8","6.8"
"Sri Lanka","3.8","3.9","3.9","3.6","3.8","3.4","3.7","3.9","4.2","4.0","4.0","4.0","4.0","4.2","3.8","4.2","4.2","4.2"
"Sudan","6.3","6.4","7.2","5.7","7.0","5.7","5.6","5.1","6.4","5.4","5.7","4.9","4.1","4.2","3.9","3.3","3.4","3.6"
"Suriname","6.2","6.3","6.2","4.8","4.8","4.6","4.7","5.0","5.3","5.1","5.6","6.3","5.6","5.8","5.2","5.7","4.1","6.3"
"Sweden","11.0","11.0","11.0","11.1","11.1","10.9","10.7","8.5","8.9","8.3","8.1","8.2","8.3","8.3","8.5","8.3","8.0","7.4"
"Switzerland","12.3","12.2","11.9","11.5","11.3","11.1","10.8","10.7","10.8","10.2","10.0","10.2","10.8","11.0","10.9","10.6","10.2","9.8"
"Syrian Arab Republic","","","","","","3.6","3.3","3.3","3.5","3.4","3.7","3.8","4.1","4.5","5.1","4.5","4.5","4.3"
"Tajikistan","7.2","7.0","6.9","6.7","6.5","6.0","5.9","5.7","5.9","5.9","5.5","5.0","5.2","4.8","4.7","4.4","4.6","4.3"
"Thailand","3.7","3.8","3.7","3.7","3.5","3.5","3.6","3.4","3.6","3.5","3.2","3.1","3.2","3.1","3.2","3.3","3.0","3.1"
"Timor-Leste","3.9","4.0","3.5","2.4","1.7","1.2","1.3","1.4","1.7","1.0","1.1","1.0","1.3","1.7","2.6","","",""
"Togo","6.2","6.6","6.2","6.4","6.3","6.1","6.0","5.9","5.0","4.4","4.4","4.2","4.0","3.7","3.5","3.4","3.4","3.3"
"Tonga","5.3","5.2","4.7","5.1","4.2","5.1","3.9","4.7","3.9","6.1","4.6","5.5","4.2","4.5","3.5","3.5","3.3","2.9"
"Trinidad and Tobago","7.0","6.9","6.0","5.2","5.0","4.9","4.7","5.1","5.5","3.7","4.2","4.2","4.4","4.3","4.2","4.7","4.0","4.2"
"Tunisia","7.2","7.0","7.0","6.8","6.9","6.6","6.4","5.9","5.7","5.4","5.4","5.4","5.4","5.5","5.5","5.4","5.1","5.0"
"Turkey","4.2","4.3","4.1","4.3","4.4","4.5","4.7","5.1","5.5","5.3","5.3","5.2","4.9","5.0","5.1","5.1","4.9","4.6"
"Turkmenistan","6.9","6.6","6.3","5.5","5.2","4.8","4.9","5.0","4.8","5.9","5.3","8.4","9.6","10.6","8.5","7.0","8.1","6.9"
"Tuvalu","17.1","16.9","16.7","16.9","18.1","15.3","15.4","16.4","14.4","10.7","11.3","13.4","11.4","10.6","15.4","13.3","19.2","24.2"
"Uganda","6.3","6.4","6.8","7.0","7.2","7.9","8.9","10.5","9.7","10.4","11.7","11.8","11.4","10.3","8.7","8.8","8.3","7.6"
"Ukraine","7.0","6.8","6.9","6.6","7.4","7.1","6.8","6.8","6.6","5.5","6.0","6.4","6.3","6.2","6.5","6.0","5.7","5.3"
"United Arab Emirates","3.3","3.4","3.6","3.6","3.6","3.4","3.7","3.9","4.0","2.9","2.6","2.3","2.3","2.5","2.6","2.7","2.5","2.4"
"United Kingdom of Great Britain and Northern Ireland","9.6","9.7","9.7","9.8","9.8","8.3","8.4","8.4","8.5","7.6","7.4","7.3","7.2","7.0","6.8","6.6","6.3","6.0"
"United Republic of Tanzania","3.6","4.0","3.6","4.0","4.6","5.0","5.1","5.3","5.1","5.6","7.0","7.7","6.4","5.7","5.3","4.7","4.2","3.4"
"United States of America","17.1","17.2","16.8","16.5","16.3","16.4","16.4","16.4","16.3","15.3","14.9","14.7","14.5","14.5","14.5","14.0","13.2","12.5"
"Uruguay","9.3","9.2","9.0","8.8","8.8","8.8","8.6","8.6","8.6","8.8","8.1","8.4","8.4","9.0","10.4","10.5","10.6","10.0"
"Uzbekistan","6.4","6.3","6.1","5.7","6.0","6.1","5.7","5.6","5.3","5.1","4.9","5.1","5.0","5.1","5.4","5.3","5.5","5.4"
"Vanuatu","3.3","3.7","4.2","3.5","4.2","3.8","3.5","3.4","3.2","3.0","3.0","3.3","3.3","3.5","3.5","3.9","3.4","3.3"
"Venezuela (Bolivarian Republic of)","1.2","3.2","5.1","5.8","5.6","6.4","7.2","6.8","7.5","6.4","7.8","8.1","6.1","6.8","7.5","7.7","7.9","7.3"
"Viet Nam","5.5","5.7","5.7","5.8","6.3","6.3","5.9","6.0","5.3","5.1","5.5","5.4","5.1","4.8","4.7","4.6","5.7","4.8"
"Yemen","","","4.2","4.8","5.0","5.2","4.8","5.2","6.0","5.8","5.8","5.5","5.2","5.5","5.8","4.8","4.9","4.7"
"Zambia","4.5","4.5","4.4","3.8","4.7","3.9","3.5","3.7","4.4","4.0","4.4","5.9","6.9","7.0","7.2","6.8","6.6","7.2"
"Zimbabwe","6.6","7.7","7.5","7.9","6.6","6.5","7.7","10.7","","","","","","","","","",""
