,"Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$"
"Central African Republic","42.0","29.7","41.9","30.6","29.8","37.1","34.6","32.3","36.3","33.2","38.5","34.1","34.3","29.3","29.6","28.8","25.4","27.6"
"Chad","87.3","100.5","99.9","94.2","84.9","77.4","73.0","76.7","75.6","68.0","71.5","78.1","77.6","85.1","64.4","75.5","51.8","48.6"
"Chile","2228.6","1980.8","1905.6","1793.7","1680.9","1517.9","1384.0","1235.5","1168.9","1115.4","1048.7","952.8","841.7","817.3","797.5","753.7","716.4","675.6"
"China","841.1","763.0","705.6","634.7","574.7","508.2","438.6","384.1","357.1","292.0","248.9","229.2","210.1","188.1","172.2","152.9","134.6","129.5"
"Colombia","1039.2","1017.1","1007.1","956.5","919.5","811.4","778.5","748.7","739.5","688.0","627.5","565.5","498.4","434.8","403.5","374.4","375.4","344.8"
"Comoros","123.2","120.2","121.9","120.8","120.2","117.7","134.0","121.2","117.8","119.1","120.5","122.3","123.3","120.5","122.4","127.2","123.0","133.5"
"Congo","164.8","170.3","202.1","145.7","136.6","132.7","99.0","102.9","102.9","99.5","86.8","79.7","79.2","82.4","80.2","71.1","87.1","60.1"
"Cook Islands","691.9","657.0","524.8","561.0","538.7","547.4","557.1","530.7","537.9","496.8","545.7","507.0","522.5","466.8","424.2","438.2","412.8","365.5"
"Costa Rica","1262.2","1237.0","1231.4","1197.0","1145.3","1119.3","1101.0","1033.2","959.9","926.3","823.7","745.4","657.1","618.5","615.4","579.3","528.9","516.1"
"Côte d'Ivoire","175.7","167.2","153.1","166.5","153.5","169.2","154.4","160.8","161.3","162.1","157.8","141.0","126.3","119.4","103.0","100.9","112.3","130.8"
"Croatia","1772.5","1667.6","1553.8","1475.2","1420.1","1644.5","1612.7","1598.6","1633.3","1604.3","1443.3","1215.8","1056.8","954.6","861.0","784.1","836.5","811.2"
"Cuba","2485.8","2463.0","3142.4","2675.1","2203.6","1867.4","2148.0","2022.2","2174.5","1962.3","1834.2","1287.4","1067.3","747.2","755.9","710.1","637.9","546.7"
"Cyprus","2430.2","2295.3","2151.8","2047.1","2103.6","2139.6","2216.9","2112.9","2221.7","2122.6","1781.3","1653.5","1520.4","1411.0","1375.6","1330.5","1228.2","1135.9"
"Czechia","2753.4","2521.8","2442.0","2472.2","2379.5","2042.6","2011.0","1919.1","2016.3","1777.9","1578.5","1475.3","1402.7","1328.4","1273.4","1127.1","1032.0","923.6"
"Democratic Republic of the Congo","37.3","38.0","34.7","33.0","27.4","24.2","22.3","24.9","28.0","30.7","25.5","24.5","22.6","22.1","18.0","12.0","12.1","7.1"
"Denmark","5510.0","5180.1","5038.4","4886.6","4762.4","4597.6","4516.3","4453.6","4315.1","3938.9","3643.4","3425.7","3109.0","2968.0","2744.7","2670.2","2492.5","2327.1"
