,"Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$"
"Poland","1958.2","1814.9","1717.4","1626.8","1575.0","1477.9","1424.5","1351.8","1268.3","1167.3","985.8","878.0","806.8","782.8","730.5","716.0","630.3","564.3"
"Portugal","2917.4","2801.3","2659.0","2587.1","2528.7","2466.5","2548.8","2681.4","2616.2","2491.9","2332.7","2254.8","2146.9","1998.3","1857.7","1747.3","1647.3","1588.0"
"Qatar","3354.4","3892.2","3991.1","3094.4","2640.6","2232.6","2069.5","2193.3","2435.1","1839.9","2208.8","2397.4","2511.1","3086.8","3188.2","2237.1","2026.9","1724.2"
"Republic of Korea","2980.2","2745.1","2540.3","2307.6","2156.8","2076.5","1973.2","1889.4","1722.5","1621.0","1484.2","1325.1","1157.9","1041.6","975.0","889.8","870.7","717.3"
"Republic of Moldova","476.7","479.5","515.8","517.4","486.3","462.2","455.9","465.6","482.6","407.3","372.1","335.9","281.0","237.2","167.8","162.3","124.6","111.1"
"Republic of North Macedonia","926.9","944.8","877.2","841.0","850.4","783.2","757.0","756.9","712.5","682.7","607.3","633.8","595.9","599.3","585.8","566.1","505.3","543.5"
"Romania","1367.8","1188.4","1066.2","1035.4","1026.1","891.5","839.3","976.5","875.0","838.9","679.3","583.7","529.2","490.4","404.6","326.3","281.6","246.0"
"Russian Federation","1404.2","1291.3","1296.5","1355.6","1329.7","1269.8","1159.9","1089.1","1170.0","1056.9","844.9","760.1","604.0","521.7","512.3","475.9","414.0","367.6"
"Rwanda","134.4","131.0","120.9","119.0","109.0","129.3","118.9","115.9","107.1","103.0","100.2","92.8","81.7","71.8","62.1","27.7","26.3","26.8"
"Saint Kitts and Nevis","1442.1","1397.6","1347.5","1299.1","1302.7","1220.9","1242.7","1214.7","1240.9","1255.7","1026.7","1082.7","946.8","814.3","823.9","796.5","764.4","789.9"
"Saint Lucia","662.3","712.5","620.5","645.8","710.4","682.0","683.0","625.8","668.0","660.1","633.8","611.4","534.4","514.5","517.2","503.9","473.6","459.3"
"Saint Vincent and the Grenadines","528.1","499.2","475.6","479.9","483.0","478.3","440.9","442.0","430.4","412.2","387.8","353.7","334.7","320.0","307.6","288.9","267.6","257.2"
"Samoa","364.0","353.2","336.9","362.6","351.4","277.5","307.3","288.7","296.4","265.4","263.5","245.9","231.6","200.5","175.6","178.2","143.1","145.0"
"San Marino","4369.7","3963.9","3584.8","3796.4","3870.6","3966.4","3897.4","3776.9","3880.8","3711.8","3339.3","3090.7","2784.2","2694.7","2338.6","2524.2","2694.4","2561.3"
"Sao Tome and Principe","209.2","201.8","169.6","206.5","229.3","179.4","182.1","177.1","176.4","172.9","184.3","180.4","228.4","218.2","222.6","177.2","177.1","182.3"
"Saudi Arabia","2826.3","3176.9","3249.4","2759.8","2294.2","2034.4","1801.1","1623.0","1846.8","1331.9","1514.3","1511.8","1385.8","1372.1","1414.2","1370.6","1499.8","1437.5"
"Senegal","143.1","139.2","136.8","131.4","124.0","118.0","112.6","106.8","99.6","91.0","84.8","89.8","86.3","100.2","90.6","80.5","76.8","68.1"
"Serbia","1382.2","1346.6","1312.5","1352.4","1359.0","1296.6","1249.9","1216.7","1169.4","1195.3","1050.3","864.6","759.0","664.4","584.7","548.1","421.3","371.8"
"Seychelles","1485.5","1439.9","1213.8","1187.9","1067.2","1264.1","984.9","945.8","712.4","737.3","760.8","773.0","736.8","693.5","729.5","659.8","774.8","674.0"
"Sierra Leone","205.4","255.8","288.8","352.7","198.6","151.4","165.5","128.6","125.2","109.7","106.3","102.1","104.3","99.9","94.3","93.5","73.2","121.6"
"Singapore","4270.0","4020.7","3696.4","3358.1","3068.3","2647.3","2404.7","2295.9","2123.3","2036.3","1782.9","1689.8","1594.5","1540.4","1610.2","1447.5","1323.4","1413.3"
"Slovakia","2184.2","2193.9","2033.8","1999.4","2101.1","2035.4","1918.6","1947.7","1836.1","1651.4","1522.1","1294.4","1096.3","969.4","771.6","733.2","660.6","602.2"
"Slovenia","2960.6","2815.5","2689.4","2625.7","2621.2","2533.2","2472.9","2385.1","2360.9","2338.1","2076.9","2013.6","1910.0","1806.0","1708.6","1624.0","1494.5","1405.8"
"Solomon Islands","115.2","121.7","120.5","133.0","121.8","120.8","147.1","133.0","136.9","149.2","151.5","154.0","157.4","117.3","100.5","129.4","88.1","66.2"
"South Africa","1097.8","1076.1","1083.7","1038.2","988.1","965.2","908.6","863.5","803.9","753.8","711.3","680.7","643.7","608.8","582.5","559.6","583.3","562.2"
"South Sudan","175.8","","","","","","","","","","","","","","","","",""
"Spain","3468.7","3297.0","3190.5","3039.8","2934.1","2899.0","2915.9","2882.3","2917.9","2791.0","2578.3","2410.5","2143.1","2011.3","1902.7","1673.4","1561.1","1471.3"
"Sri Lanka","503.6","490.5","465.9","408.8","407.5","346.2","341.7","323.1","369.0","338.3","312.6","289.2","264.6","253.2","212.7","227.2","218.0","220.7"
"Sudan","313.7","325.5","289.3","234.9","276.4","220.3","272.8","243.6","291.8","263.2","278.0","208.8","165.5","145.2","127.3","102.1","96.2","87.2"
"Suriname","946.4","928.9","972.6","783.0","768.3","707.5","702.9","700.3","704.4","654.0","684.7","719.3","744.1","733.1","599.3","604.3","436.2","651.2"
"Sweden","5699.6","5426.9","5358.2","5210.9","5093.7","4910.9","4689.3","3543.4","3562.9","3493.2","3288.9","3064.8","2817.3","2775.4","2669.0","2562.3","2384.4","2173.0"
"Switzerland","8217.0","7891.6","7640.0","7158.1","6843.1","6430.9","6082.6","5706.0","5626.3","5376.2","5010.7","4622.5","4403.8","4325.2","4138.7","4029.8","3776.4","3529.3"
"Syrian Arab Republic","","","","","","159.7","184.9","169.5","175.3","161.0","171.1","167.5","171.6","175.2","186.2","172.0","152.8","144.9"
"Tajikistan","231.4","208.8","194.8","179.3","165.3","141.7","129.6","118.3","114.6","112.4","98.2","81.9","79.0","67.5","59.5","50.2","46.4","40.5"
"Thailand","670.9","639.1","597.3","578.4","529.0","518.8","483.0","447.9","441.5","423.8","379.1","342.0","324.2","301.4","287.1","272.1","231.0","225.8"
"Timor-Leste","263.8","316.8","276.1","156.4","154.0","123.7","122.3","123.9","146.4","97.0","90.1","82.1","75.3","71.7","64.9","","",""
"Togo","103.7","106.0","96.7","94.5","88.9","82.5","76.2","70.9","57.0","49.3","47.7","43.7","40.0","36.6","33.9","32.1","32.5","32.1"
"Tonga","335.3","317.1","265.4","278.8","217.3","261.2","200.1","241.6","188.4","280.0","211.8","248.5","198.4","197.0","147.8","149.0","135.9","110.4"
"Trinidad and Tobago","2205.8","2133.3","2093.3","1740.2","1680.7","1562.1","1484.9","1581.3","1643.3","1135.4","1231.3","1149.3","1055.5","942.5","829.8","806.9","631.6","625.5"
"Tunisia","863.3","812.9","805.7","774.5","752.3","700.5","651.0","601.5","559.5","520.5","496.0","453.3","422.9","403.5","373.2","346.2","322.0","303.0"
"Turkey","1180.6","1132.6","1064.0","1044.6","982.6","924.2","921.7","880.6","857.0","844.1","784.0","706.7","587.5","538.6","485.9","475.9","453.8","443.0"
"Turkmenistan","1249.6","1118.6","1008.4","832.6","707.0","595.6","549.0","486.6","430.7","501.6","389.3","550.0","552.5","529.9","399.3","315.8","363.7","291.3"
"Tuvalu","694.3","634.5","606.7","557.9","593.1","468.7","495.9","484.0","433.4","336.5","321.7","351.9","284.8","273.5","401.1","363.7","485.5","592.0"
"Uganda","122.7","122.9","126.0","126.8","126.4","134.3","162.5","167.8","150.6","174.4","165.5","154.5","131.8","103.1","88.9","87.0","74.4","66.0"
"Ukraine","584.6","537.8","531.2","553.7","641.4","606.9","566.1","523.0","480.4","467.1","486.6","465.8","412.6","374.7","343.0","278.6","246.3","210.1"
"United Arab Emirates","2468.5","2487.9","2547.8","2452.8","2298.6","2074.3","2142.0","2174.5","2381.7","2005.8","1905.1","1879.4","1896.0","2082.5","2172.1","2144.7","1987.7","1922.7"
"United Kingdom of Great Britain and Northern Ireland","4338.4","4182.2","4089.9","4003.5","3871.5","3151.4","3095.7","3049.7","2960.1","2795.6","2633.0","2534.7","2339.7","2243.8","2063.4","1901.2","1739.8","1570.7"
"United Republic of Tanzania","104.3","107.5","94.5","99.9","109.7","112.5","108.9","106.0","98.7","105.0","125.3","131.9","95.0","80.2","69.3","57.4","49.0","37.3"
"United States of America","10246.1","9941.3","9538.1","9068.0","8647.6","8441.0","8169.9","7957.3","7699.4","7420.7","7175.9","6819.8","6451.8","6099.8","5737.1","5328.3","4910.7","4560.1"
"Uruguay","2101.9","1986.3","1907.9","1837.5","1762.7","1650.4","1546.1","1438.1","1328.9","1297.7","1098.8","1040.8","973.3","939.6","1008.4","986.7","1066.2","1020.9"
"Uzbekistan","447.9","417.0","375.3","324.9","319.9","296.7","256.1","232.0","203.3","175.7","161.7","147.0","135.9","125.4","123.1","115.2","113.0","105.5"
"Vanuatu","110.4","116.4","128.3","105.6","124.5","111.3","102.0","97.5","90.8","86.2","81.4","84.2","76.8","77.6","73.8","79.3","73.3","74.1"
"Venezuela (Bolivarian Republic of)","141.0","445.0","846.9","1019.9","1022.7","1161.0","1218.8","1107.3","1245.6","1101.8","1266.9","1200.3","805.9","806.4","747.5","831.7","930.9","837.9"
"Viet Nam","375.6","356.7","335.3","321.7","330.1","308.5","272.1","257.6","214.4","198.3","197.1","178.6","154.5","144.9","117.2","106.6","125.0","98.5"
"Yemen","","","139.0","192.7","199.2","200.9","181.5","226.3","247.5","233.9","229.9","211.6","192.7","192.5","193.4","157.8","157.3","143.7"
"Zambia","180.3","176.5","171.8","147.0","174.0","140.6","116.3","119.5","131.1","111.0","112.7","140.5","151.7","144.6","137.7","122.6","114.4","119.2"
"Zimbabwe","201.0","180.9","174.8","183.8","150.1","146.4","149.5","181.6","","","","","","","","","",""
