,"Existence of operational policy/strategy/action plan for cancer","Existence of operational policy/strategy/action plan for cancer","Existence of operational policy/strategy/action plan for cancer","Existence of operational policy/strategy/action plan for cancer"
"Republic of Korea","Yes","Yes","Yes","Yes"
"Republic of Moldova","Yes","Yes","Yes","No"
"Republic of North Macedonia","Yes","Yes","Yes","Yes"
"Romania","Yes","Yes","Yes","Yes"
"Russian Federation","Yes","Yes","Yes","Yes"
"Rwanda","Yes","Yes","Yes","Yes"
"Saint Kitts and Nevis","No","Yes","Yes","No"
"Saint Lucia","Yes","No","No","No"
"Saint Vincent and the Grenadines","Yes","No","No","No data received"
"Samoa","Yes","No","No data received","Yes"
"San Marino","Yes","Yes","No","Yes"
"Sao Tome and Principe","No","No","No","No"
"Saudi Arabia","Yes","Yes","Yes","Yes"
"Senegal","Yes","Yes","No","No"
"Serbia","Yes","Yes","No","No"
"Seychelles","Yes","Yes","No","No"
"Sierra Leone","No","Yes","Yes","No data received"
"Singapore","Yes","Yes","Yes","Yes"
"Slovakia","Yes","Yes","Yes","Yes"
"Slovenia","Yes","Yes","Yes","Yes"
"Solomon Islands","Yes","Yes","Yes","No"
"Somalia","No","No","No","No"
"South Africa","Yes","No","No","No data received"
"South Sudan","No","No","No data received","No data received"
"Spain","Yes","Yes","Yes","Yes"
"Sri Lanka","Yes","Yes","Yes","Yes"
"Sudan","Yes","No","No","Yes"
"Suriname","Yes","Yes","Yes","Yes"
"Sweden","Yes","Yes","Yes","Yes"
"Switzerland","Yes","Yes","Yes","Yes"
"Syrian Arab Republic","No","No","No","Yes"
"Tajikistan","Yes","Yes","Yes","Yes"
"Thailand","Yes","Yes","Yes","Yes"
"Timor-Leste","Yes","Yes","Yes","No data received"
"Togo","Yes","Yes","Yes","Yes"
"Tonga","Yes","Yes","No","Yes"
"Trinidad and Tobago","Yes","Yes","No","Yes"
"Tunisia","Yes","Yes","Yes","No"
"Turkey","Yes","Yes","Yes","Yes"
"Turkmenistan","Yes","Yes","Yes","Yes"
"Tuvalu","No","No","No","No"
"Uganda","No","No","No","No"
"Ukraine","Yes","No","Yes","No"
"United Arab Emirates","Yes","Yes","Yes","No"
"United Kingdom of Great Britain and Northern Ireland","Yes","Yes","Yes","Yes"
"United Republic of Tanzania","Yes","Yes","No data received","No data received"
"United States of America","Yes","Yes","Yes","Yes"
"Uruguay","Yes","Yes","No","Yes"
"Uzbekistan","Yes","Yes","Yes","Yes"
"Vanuatu","Yes","Yes","No","No"
"Venezuela (Bolivarian Republic of)","Yes","No","No data received","Yes"
"Viet Nam","Yes","Yes","Yes","Yes"
"Yemen","No","No","Yes","No"
"Zambia","Yes","Yes","Yes","Yes"
"Zimbabwe","Yes","Yes","Yes","No"
