,"Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$"
"Romania","113.7","98.8","94.1","102.2","99.9","90.1","103.6","92.7","93.4","94.8","73.0","58.2","47.1","46.4","21.7","17.2","14.9","13.6"
"Russian Federation","237.2","189.9","193.9","265.9","282.5","253.8","234.1","200.4","178.7","192.4","145.3","109.8","86.9","70.7","54.8","43.9","36.4","28.8"
"Rwanda","3.1","3.1","3.5","4.0","4.4","4.9","5.3","5.8","6.2","6.9","7.2","7.5","6.0","4.3","2.9","2.1","2.2","2.5"
"Saint Kitts and Nevis","431.2","420.5","461.2","437.5","469.2","436.1","460.9","435.8","440.0","466.2","339.3","326.5","255.3","218.9","238.7","235.6","223.7","234.5"
"Saint Lucia","205.9","241.8","209.2","206.1","253.9","237.2","259.3","237.7","246.4","255.7","281.8","230.5","188.6","179.9","191.6","172.6","163.9","170.0"
"Saint Vincent and the Grenadines","100.0","101.7","98.0","98.9","99.5","94.7","90.2","91.4","89.3","89.7","89.5","75.4","68.6","64.1","56.6","52.3","49.0","43.0"
"Samoa","27.6","27.0","25.6","28.5","28.5","28.5","27.0","24.3","22.5","23.2","20.0","17.7","16.5","14.1","12.3","10.1","8.2","7.5"
"San Marino","582.7","566.4","605.7","690.6","698.7","684.4","750.1","723.7","813.9","820.5","730.5","677.8","638.0","645.2","594.1","568.9","515.7","537.6"
"Sao Tome and Principe","16.5","15.5","14.0","18.4","18.3","15.9","17.2","16.3","18.5","20.3","22.0","23.7","27.8","26.0","23.6","21.9","21.3","22.6"
"Saudi Arabia","184.3","183.1","178.9","168.8","159.9","154.2","137.8","133.1","126.7","115.3","98.2","85.3","77.4","72.5","68.3","67.9","69.5","71.0"
"Senegal","28.8","26.9","26.5","30.1","32.4","29.0","28.6","24.4","22.5","20.1","17.8","14.2","14.2","23.1","19.4","14.7","12.5","11.9"
"Serbia","220.7","202.5","199.4","243.2","237.6","198.3","225.4","198.5","202.4","236.2","189.9","122.0","91.7","74.9","57.5","41.3","32.0","16.7"
"Seychelles","194.7","198.6","194.8","203.5","159.8","165.2","161.1","148.7","137.0","167.5","117.5","136.6","137.3","120.8","95.5","73.5","122.4","62.5"
"Sierra Leone","33.5","35.9","44.0","48.9","51.7","43.5","41.3","28.0","30.2","30.3","26.3","23.0","21.5","19.6","20.4","19.8","18.0","17.7"
"Singapore","841.3","813.3","769.7","745.0","764.8","701.5","673.4","627.5","575.2","592.4","525.8","461.9","431.6","423.0","401.7","399.4","392.9","395.4"
"Slovakia","222.0","210.2","204.4","231.9","319.5","306.6","318.4","295.3","294.7","263.1","281.7","193.8","142.0","108.6","42.1","28.0","23.1","22.1"
"Slovenia","236.7","220.1","221.9","267.4","255.9","246.1","261.6","254.7","270.5","274.4","244.5","189.3","188.7","166.6","150.2","118.6","106.6","105.7"
"Solomon Islands","5.5","4.9","5.0","5.6","5.6","5.1","4.7","4.3","4.0","4.1","3.8","3.6","3.2","2.9","1.6","1.8","2.3","2.0"
"South Africa","38.8","33.2","36.2","40.3","42.5","47.1","50.2","45.9","38.2","37.8","42.6","42.7","43.7","41.5","34.2","23.7","28.0","33.5"
"South Sudan","4.4","","","","","","","","","","","","","","","","",""
"Spain","590.7","572.3","559.4","650.8","630.5","591.3","611.1","576.1","568.0","623.7","544.3","473.9","450.3","427.7","368.0","287.6","259.5","243.9"
"Sri Lanka","79.4","76.7","74.1","67.6","67.8","59.2","61.2","57.9","53.6","47.1","33.1","26.8","23.2","20.9","15.9","17.3","17.0","17.5"
"Sudan","140.5","116.7","99.9","77.5","93.4","65.4","82.5","66.9","58.2","66.6","60.5","39.0","25.5","21.0","17.7","12.8","11.8","10.7"
"Suriname","89.5","77.7","118.4","134.2","127.0","120.3","106.8","98.5","87.2","84.6","62.8","59.1","52.5","45.8","40.8","37.4","25.5","25.9"
"Sweden","887.6","875.2","870.8","1028.1","1044.5","966.4","960.8","751.7","701.9","787.3","732.3","645.4","611.5","588.4","513.4","417.1","371.6","314.3"
"Switzerland","2882.0","2907.7","2851.7","2928.1","2746.9","2674.9","2730.4","2332.8","2191.6","2153.6","1903.9","1768.4","1807.7","1845.9","1639.9","1378.3","1294.5","1255.1"
"Syrian Arab Republic","","","","","","37.5","43.5","50.9","49.8","46.6","39.6","34.0","31.6","32.1","31.7","34.6","34.1","34.9"
"Tajikistan","36.6","36.8","39.7","45.8","42.1","36.5","30.6","29.8","27.2","28.5","20.3","13.9","11.6","10.6","8.1","6.5","5.9","4.7"
"Thailand","27.5","25.6","26.8","28.2","26.7","27.7","25.5","24.9","24.2","22.3","18.8","18.4","25.2","22.0","20.8","19.5","19.5","21.3"
"Timor-Leste","6.9","7.1","7.3","7.2","7.0","6.7","6.3","5.9","4.3","4.8","5.3","5.7","7.9","6.5","5.9","","",""
"Togo","22.2","19.5","19.2","21.7","21.4","20.0","21.5","19.3","16.4","14.6","12.1","10.6","10.5","10.2","9.7","8.1","7.3","7.4"
"Tonga","23.6","22.3","22.6","24.7","24.6","24.4","23.0","20.5","19.2","20.0","17.8","15.7","15.4","13.7","11.7","10.4","9.0","10.4"
"Trinidad and Tobago","447.1","455.5","460.8","454.3","439.2","418.5","408.9","401.2","385.0","366.3","343.0","292.5","255.7","238.1","181.6","176.8","145.8","158.9"
"Tunisia","98.0","102.3","106.1","110.6","112.5","112.0","113.9","102.6","99.6","99.9","87.9","77.4","72.6","70.5","61.7","50.7","45.4","43.2"
"Turkey","77.3","77.2","77.1","93.4","93.5","83.6","84.5","91.0","72.5","109.5","122.5","98.6","88.2","60.5","45.2","37.9","36.0","57.1"
"Turkmenistan","332.1","322.2","287.9","298.6","251.5","217.7","190.8","157.5","137.4","200.5","194.5","286.0","254.8","230.5","133.0","81.0","75.8","38.3"
"Tuvalu","3.2","3.6","1.2","3.7","3.9","4.1","4.1","3.1","2.7","3.7","3.0","2.2","3.0","3.2","3.4","2.6","1.9","0.4"
"Uganda","15.0","15.2","16.2","19.1","19.9","22.6","20.1","20.8","20.6","22.3","20.1","16.6","14.1","10.7","6.7","7.1","7.0","7.1"
"Ukraine","92.8","76.7","76.5","103.0","135.9","121.2","113.0","84.7","62.9","81.5","67.8","53.6","44.2","35.0","28.3","23.9","21.1","17.0"
"United Arab Emirates","256.0","251.1","249.4","287.3","267.0","241.3","250.6","243.9","215.7","336.8","316.2","292.7","275.8","270.7","241.5","238.6","116.4","172.7"
"United Kingdom of Great Britain and Northern Ireland","615.7","611.2","654.3","689.0","632.7","339.3","346.1","324.1","306.8","340.3","389.3","331.1","298.0","292.6","270.6","223.0","199.0","194.2"
"United Republic of Tanzania","8.2","7.8","8.3","10.0","10.1","10.0","10.2","11.5","11.4","11.6","10.2","9.1","9.3","8.7","8.1","7.2","6.2","4.8"
"United States of America","1126.3","1105.2","1065.6","1041.6","1032.8","1017.4","996.6","971.3","959.8","973.0","964.7","917.5","893.9","849.4","812.5","762.7","723.9","705.3"
"Uruguay","279.3","245.7","236.6","251.0","263.4","244.2","237.7","210.1","168.7","170.3","133.3","117.5","114.1","90.2","80.8","93.3","160.9","173.1"
"Uzbekistan","52.8","70.6","63.7","53.3","54.8","50.8","44.1","38.3","32.2","26.3","20.9","16.0","13.5","12.0","10.9","11.0","13.4","15.6"
"Vanuatu","9.5","9.3","9.1","9.6","9.5","9.5","9.7","8.9","7.5","7.4","6.9","6.2","6.1","6.0","5.3","4.7","5.1","5.1"
"Venezuela (Bolivarian Republic of)","59.4","118.7","160.1","203.3","214.3","239.1","267.7","356.4","343.7","274.1","201.7","149.9","120.3","90.8","83.5","116.2","160.5","144.7"
"Viet Nam","58.6","54.8","50.8","48.5","48.9","44.1","33.3","29.3","23.9","21.9","18.4","15.7","13.0","10.7","8.3","7.3","7.3","7.0"
"Yemen","","","58.3","60.9","58.5","52.9","46.7","50.0","48.6","47.6","40.1","32.9","27.5","23.1","18.9","12.7","11.8","10.9"
"Zambia","8.0","6.9","7.2","9.2","9.9","11.9","12.3","13.3","13.1","19.3","15.9","19.7","14.9","9.4","7.3","6.2","6.6","6.5"
"Zimbabwe","22.7","22.8","24.3","22.1","25.4","23.3","27.0","30.8","","","","","","","","","",""
