country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Mexico,3820,3890,3950,4140,4470,4620,4730,4950,5250,5260,5420,5460,5730,6020,6170,6320,6400,6430,6820,7290,7740,8130,7640,7300,7420,7490,7050,7090,7110,7280,7550,7760,7900,7940,8180,7440,7840,8320,8620,8760,9060,8920,8810,8810,9050,9070,9400,9460,9450,8800,9160,9330,9500,9410,9610,9790,9940,10000,10100
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2990,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290,1270,1290,1200,1160,1180,1310,1420,1590,1730,1850,1930,1960,2120,1920,2100,2220,2260,2470,2570,2500,2600,2730,2800
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430,2790,3080,3460,3560,3580,3540,3400,3800
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6180,6560,7050,6530,6640,6950,6820,7080,7150,7460,7570,8040,8360
Morocco,,,,,,,804,865,926,983,1020,1050,1050,1060,1100,1160,1250,1300,1290,1310,1320,1250,1330,1320,1370,1410,1530,1490,1620,1640,1680,1760,1700,1650,1800,1670,1870,1810,1930,1930,1940,2060,2100,2200,2290,2350,2500,2560,2690,2730,2800,2900,2940,3050,3050,3160,3150,3240,3290
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,192,205,209,210,228,247,266,295,282,308,303,339,351,362,375,397,417,444,457,486,511,532,552,568,571,570,579
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979,1030,1050,1140,1200,1290,1370,1450,
Namibia,,,,,,,,,,,,,,,,,,,,,3610,3970,3790,3760,3570,2980,3200,3570,3240,3380,3570,3810,3880,3740,3710,3860,3820,3900,3970,3930,4120,4070,4270,4530,4830,4740,5030,5060,5110,5010,5120,5350,5440,5850,6140,6380,6240,6000,5900
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5730,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,462,473,488,502,514,527,553,574,597,615,648,676,723,744,741,789,824
Netherlands,,,,,,,,,,24100,25100,25700,26400,27800,28400,27700,28900,29400,29800,30600,30500,29900,29400,30000,30900,31200,31900,32700,33500,34800,35600,36300,36600,37000,38000,39300,40500,41800,42900,45500,47300,46900,46800,47300,47800,47800,50400,51800,51200,50000,51100,52200,51600,51200,51000,51900,51900,54300,55600
New Zealand,,,,,,,,,,,,20300,20800,22100,23000,22000,21800,20900,20900,21600,21800,22700,22600,22900,23500,23700,24400,24300,24300,24200,24100,22200,22300,23200,24200,25100,25300,25800,26200,27100,27800,28800,29600,30400,30900,31300,31700,32200,31600,32200,32000,32700,33300,34000,34700,35500,36100,36200,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,992,1060,1100,1150,1210,1240,1250,1250,1270,1320,1380,1400,1460,1490,1410,1460,1530,1610,1670,1730,1780,1840,1900,1820
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,330,347,331,345,339,360,363,378,378,381,385,395
Nigeria,,,,,,,,,,,,,,,,,,,,,,1720,1570,1360,1310,1350,1310,1300,1390,1350,1460,1430,1440,1360,1320,1300,1320,1330,1330,1330,1280,1360,1530,1580,1670,1730,1890,1900,1980,2070,2170,2230,2270,2360,2490,2510,2410,2350,2330
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3810,3600,3310,3080,3050,3030,3050,3070,3150,3250,3390,3300,3330,3400,3570,3690,3930,4000,4370,4370,4480,4560,4520,4640,4830,4940,5020,5030,5150
Norway,,,,,,,,,,,,,,,,,,,43500,45100,47200,47700,47600,49500,52500,55700,57900,58700,57800,58000,58800,60200,62600,63900,67100,69800,72900,76400,77900,79100,80700,83000,83900,84500,87000,89400,89900,91300,90500,88700,88700,88300,89400,89500,92200,93800,94000,95300,96000
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18200,18900,18100,17500,17400,17100,16300,17900,18300,18400,18100,16600,16900,16800,15900,16400,16500,16000,15700
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,687,735,751,759,775,776,802,791,794,815,821,802,798,805,814,810,832,874,909,955,988,1010,1010,1020,1030,1040,1060,1080,1110,1150,1190,1220,1260
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11700,11700,12300,11700,11100,11200,11900,12100,11800,12300,13700,13700,12800,13000
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130,2200,2110,2340,2690,2830,2420,2060,1730,1930,2050,2260,2140,2250,2320,2400,2510,2770,2890,2920,2910,2990,3080,3100,3110
Panama,1910,2070,2180,2310,2350,2450,2560,2680,2790,2940,3060,3260,3310,3390,3370,3420,3330,3290,3540,3570,3990,4180,4540,4460,4290,4550,4390,4710,3800,3690,3930,4100,4400,4650,4740,4640,4750,4900,5140,5170,5290,5190,5380,5330,5540,5800,6190,6750,7340,7250,7340,8330,8920,9280,9310,9650,9950,10400,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3690,3630,3550,3420,3130,3090,3100,2920,3060,3110,3340,3630,3860,3780,4150,4320,4210,4510,4690,4760,4890,5110,5250
Peru,2540,2660,2870,2910,3000,3100,3250,3270,3170,3190,3240,3310,3330,3430,3670,3720,3640,3630,3390,3380,3530,3650,3560,3050,3080,3100,3280,3540,3030,2670,2500,2570,2510,2570,2850,2990,3050,3200,3160,3160,3180,3180,3300,3370,3440,3590,3730,4030,4410,4450,4710,4950,5280,5620,5730,5920,6010,6030,6140
Philippines,1050,1080,1100,1140,1140,1160,1180,1200,1210,1240,1240,1270,1300,1390,1400,1440,1510,1560,1600,1640,1670,1680,1670,1660,1470,1330,1340,1370,1430,1470,1510,1480,1470,1470,1520,1560,1620,1700,1780,1790,1890,1920,1950,2000,2090,2160,2210,2300,2360,2430,2560,2590,2730,2900,3020,3150,3310,3470,3630
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6450,6880,7320,7660,8020,8490,8610,8790,9050,9310,9780,10400,10900,11600,11800,12100,12800,12900,13200,13600,14100,14500,15200,15900
Portugal,,,,,,,,,,,8930,9490,10300,11500,11500,10400,10700,11100,11300,11700,12100,12100,12100,12000,11700,12000,12700,13700,14800,15900,16600,17400,17700,17300,17400,18200,18700,19300,20100,20800,21200,21400,21500,21300,21600,21700,21700,22200,22100,21400,21800,21800,20800,21000,21100,21400,22000,22800,23500
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59300,61600,54800,61900,61200,60500,57400,60400,63100,62200,61900,61800,63100,63000,62500,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5370,4730,4340,4410,4590,4880,5080,4840,4740,4730,4870,5200,5580,5680,6190,6590,7130,7750,8680,8360,8080,8270,8480,8760,9190,9470,9950,10700,11200
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9550,9040,7650,7010,6170,5890,5650,5700,5300,5670,6330,6770,7090,7550,8190,8720,9410,10300,10800,9910,10300,10800,11100,11300,11200,11000,11000,11200,11400
Rwanda,,,,,,,,,,,336,329,321,320,315,300,347,342,362,392,414,423,418,427,393,393,395,375,375,365,356,357,399,392,206,286,309,330,331,321,328,341,378,379,401,433,470,495,535,553,578,608,642,653,673,712,735,761,806
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3460,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18400,17800,16800,18100,19000,19500,19600,19500,20200,19200,19500,20900,21400,21300,21600,21900,21700,21000,21000
Senegal,,,,,,,,,1280,1170,1220,1190,1220,1110,1120,1170,1250,1190,1110,1160,1090,1110,1160,1070,1070,1070,1070,1110,1060,1080,1040,1040,1030,1000,976,1000,1010,1020,1060,1090,1100,1120,1100,1150,1190,1230,1230,1250,1270,1260,1270,1240,1270,1270,1310,1350,1390,1450,1500
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3480,3560,3130,3410,3580,3820,3990,4360,4800,5060,5370,5650,5580,5610,5770,5700,5850,5790,5870,6040,6130,6530
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,323,338,344,346,350,394,416,424,406,412,485,552,556,435,408,452,
Singapore,3600,3760,3940,4250,4050,4260,4570,4990,5530,6170,6860,7480,8310,8840,9170,9770,10200,10700,11500,12400,12800,13500,13900,15300,16700,16800,16900,17900,19700,21200,22400,23100,24200,25800,28400,29700,30200,32500,30600,32000,33600,32400,32900,34600,36200,38100,41600,43500,41600,39800,46700,47500,47900,49000,51200,50200,50900,52700,54200
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8720,9300,9760,10100,10100,10200,10600,11000,11100,11800,12700,13800,15300,16300,15600,16200,16400,17000,17300,17700,18300,18800,19300,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20900,21700,22800,24000,24800,22900,23200,23300,22600,22400,23100,23100,23900,25300,26300
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,,,,,,,,
South Africa,4470,4510,4710,4950,5200,5380,5480,5740,5810,5920,6070,6180,6110,6210,6410,6320,6310,6140,6170,6250,6480,6650,6450,6160,6310,6040,5900,5920,6050,6040,5870,5720,5480,5420,5480,5520,5640,5680,5610,5660,5810,5850,6020,6110,6360,6610,6890,7060,7210,7060,7170,7260,7290,7370,7380,7370,7270,7250,7190
South Korea,955,995,1000,1060,1140,1190,1310,1410,1560,1740,1850,1980,2070,2330,2520,2630,2940,3260,3580,3810,3660,3840,4120,4580,4980,5270,5800,6530,7270,7750,8450,9230,9700,10300,11100,12000,12800,13400,12500,13800,15000,15600,16700,17100,17900,18400,19400,20300,20800,20800,22100,22900,23400,23900,24400,24900,25600,26200,26700
Spain,,,,,,,,,,,13400,13900,14900,16000,16800,16600,16900,17100,17200,17100,17300,17000,17100,17300,17500,18000,18600,19600,20500,21500,22300,22800,22800,22600,22700,23600,24100,24800,25800,26900,28200,28900,29400,29800,30200,30600,31200,31500,31200,30000,30100,29600,29000,28700,29300,30500,31500,32300,33000
Sri Lanka,,573,596,588,603,600,620,643,656,697,672,654,645,672,677,699,683,706,772,872,918,941,981,998,1010,1070,1100,1110,1120,1120,1180,1220,1270,1340,1400,1450,1500,1590,1640,1700,1790,1750,1810,1920,2000,2100,2250,2390,2480,2580,2770,2990,3230,3290,3420,3550,3660,3750,3820
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14900,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7810,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6180,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,962,990,901,825,812,814,852,836,752,688,707,792,758,797,709,692,742,777,782,815,864,939,950,943,956,981,1020,1060,1060,1120,1210,1300,1370,1370,1370,1530,1650,1180,1660,1710,1750,1800,1740
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8060,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,2990,3030,2960,2830,3080,3230,3270,3170,3270,3180,3350,3250,3290,3470,3900,3880,4060,4010,3960,3960,4210,4410,4620,4590,4700,4650,4620,
Sweden,,,,,,,,,,,26500,26600,27100,28200,29000,29700,29900,29200,29700,30800,30900,30800,30900,31400,32700,33400,34400,35700,36400,37000,36700,35700,34500,33300,35100,36400,37000,38100,40100,42600,44700,45300,46200,47700,49000,50700,53300,55000,54700,51300,54300,55100,54500,54600,55500,56600,57200,58200,58800
Switzerland,,,,,,,,,,,50700,52200,53300,54600,55200,50800,50800,52600,52400,53900,56000,56900,55700,56100,57900,59700,60100,60600,62600,64400,65600,64300,63400,63000,62800,63300,63500,65900,67900,69300,72300,70900,69700,71900,73100,76400,78200,75600,70800,74600,79000,75900,76600,77100,76700,78400,77700,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,462,475,378,395,412,421,440,476,519,560,620,652,684,731,778,790,926,981,1030,1090,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,493,479,470,464,469,483,486,496,508,517,527,558,576,601,625,659,676,696,712,730,763,777,804,832,855,884,915,
Thailand,569,582,608,637,660,695,749,792,831,860,931,946,956,1020,1050,1070,1140,1220,1310,1350,1390,1430,1480,1550,1600,1640,1690,1820,2030,2250,2470,2640,2800,3030,3230,3460,3590,3430,3100,3240,3390,3450,3600,3810,4010,4140,4360,4580,4630,4580,4860,4970,5190,5210,5310,5450,5630,5850,6070
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860,1940,2100,1750,1270,680,1200,2490,2690,3080,3050,2980,1770,2330,2120,3100,3130,2780,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,530,574,573,594,617,651,654,660,677
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3670,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15900,,,,,,,,
Tunisia,,,,,,1080,1100,1070,1140,1170,1210,1320,1510,1460,1550,1630,1700,1730,1800,1870,1960,2010,1940,1990,2040,2080,2000,2070,2030,2020,2160,2180,2290,2260,2300,2330,2450,2570,2670,2800,2890,2980,3000,3120,3290,3340,3490,3660,3750,3850,3950,3820,3950,4010,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,6230,6230,6170,6670,6600,6820,7240,6730,7190,7610,8060,8150,7730,8120,7440,7850,8180,8880,9590,10100,10500,10500,9860,10600,11600,12000,12700,13200,13700,13900,14700,14800
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4070,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,302,306,298,278,271,273,285,291,298,304,300,320,329,358,380,390,398,418,412,414,441,455,468,481,518,548,578,598,612,650,650,651,661,674,679,675,688
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3710,3260,2730,2150,1890,1720,1690,1660,1660,1770,1970,2100,2330,2630,2730,2940,3180,3290,2790,2920,3060,3100,3100,3080,2790,2880,2900,3030
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63900,59700,60300,60600,57000,54600,49000,43100,36400,33900,34600,35400,37000,38600,40400,41300,41000,41000
United Kingdom,,,,,,,,,,,17800,18300,19000,20300,19800,19400,20000,20400,21300,22000,21500,21300,21700,22700,23200,24100,24800,26100,27500,28100,28200,27800,27900,28500,29700,30600,31300,32400,33700,34500,35800,36900,37800,38800,39400,40500,40800,41300,40700,38700,39500,39900,39600,39800,40500,41000,41500,42500,42700
United States,,,,,,,,,,,23300,23700,24700,25900,25600,25200,26400,27300,28500,29200,28800,29200,28400,29400,31300,32200,32900,33800,34900,35800,36100,35600,36300,36800,37800,38400,39400,40600,41900,43400,44700,44800,45100,46000,47400,48600,49400,50000,49600,47900,48900,49400,50100,50600,51500,52500,52900,53800,55100
Uruguay,,,,,,5340,5440,5160,5220,5510,6370,5600,5470,5130,5650,5930,6160,6240,6530,6950,7070,7380,6520,5610,5400,5450,6040,6540,6600,6600,6640,6910,7450,7600,8070,7920,8320,9030,9380,9210,8990,8630,8030,7720,8090,8830,9250,9830,10400,10800,11500,12100,12000,12800,13000,13300,13400,13600,13600
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874,869,891,920,946,962,987,1020,1050,1130,1190,1260,1430,1560,1600,1640,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420,2450,2650,2710,2970,2900,2860,2830,2710,2850,2870,,,,
Venezuela,,11800,12400,12500,13200,13300,13200,13200,13600,13400,14100,13800,13800,14300,14300,14700,15400,15900,15800,15400,14400,14000,13000,12100,11800,11500,12100,12100,12600,10900,11800,12700,13000,12700,12100,12400,12200,12600,12500,11600,11800,12000,10600,9590,11100,12200,13400,14700,15000,14200,13700,13700,14300,14200,13900,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529,578,619,659,688,716,810,852,897,948,1020,1000,1060,1120,1160,1100,1270,1330,1380,1440,1500,1580,1680,1700,1820
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692,836,921,1070,1110,1120,1100,1110,1150,1320
